date,raw_title_sentiment,raw_description_sentiment
2015-05-15,neutral,negative
2015-08-11,positive,positive
2016-03-21,positive,positive
2016-07-20,negative,negative
2017-02-21,neutral,negative
2017-09-01,positive,positive
2017-09-05,neutral,neutral
2017-09-15,neutral,negative
2017-09-28,neutral,positive
2017-10-23,neutral,neutral
2017-10-27,negative,negative
2017-11-28,negative,negative
2017-11-29,negative,positive
2017-11-30,neutral,negative
2017-12-22,positive,negative
2018-01-19,positive,negative
2018-01-22,negative,negative
2018-02-09,neutral,positive
2018-03-14,neutral,positive
2018-04-04,negative,negative
2018-05-22,negative,positive
2018-05-29,positive,neutral
2018-05-30,neutral,neutral
2018-07-09,neutral,positive
2018-07-25,neutral,neutral
2018-07-25,negative,negative
2018-08-02,positive,positive
2018-08-15,negative,neutral
2018-09-07,neutral,positive
2018-09-17,positive,neutral
2018-09-20,neutral,positive
2018-09-25,neutral,positive
2018-10-03,negative,neutral
2018-10-03,negative,negative
2018-10-14,positive,positive
2018-11-11,neutral,neutral
2018-11-19,neutral,neutral
2018-11-22,positive,neutral
2018-11-22,negative,positive
2018-11-26,positive,positive
2018-12-12,neutral,neutral
2018-12-12,neutral,neutral
2018-12-18,negative,positive
2018-12-20,negative,neutral
2019-01-07,neutral,neutral
2019-01-13,negative,negative
2019-01-15,negative,positive
2019-02-07,negative,neutral
2019-02-13,positive,negative
2019-02-17,neutral,neutral
2019-02-19,negative,negative
2019-02-26,negative,negative
2019-03-10,positive,positive
2019-03-18,negative,negative
2019-04-02,negative,neutral
2019-04-03,negative,positive
2019-04-04,positive,negative
2019-04-08,negative,negative
2019-04-11,neutral,neutral
2019-04-11,negative,negative
2019-04-16,negative,positive
2019-04-17,negative,neutral
2019-04-30,negative,negative
2019-04-30,positive,positive
2019-05-01,positive,positive
2019-05-07,negative,positive
2019-05-13,positive,neutral
2019-05-13,neutral,positive
2019-05-23,neutral,negative
2019-05-24,positive,positive
2019-05-30,negative,positive
2019-06-10,neutral,positive
2019-06-10,negative,positive
2019-06-10,positive,neutral
2019-06-12,negative,neutral
2019-06-18,negative,positive
2019-06-20,neutral,neutral
2019-06-21,positive,positive
2019-06-21,neutral,positive
2019-06-23,neutral,neutral
2019-06-26,positive,positive
2019-06-27,neutral,negative
2019-07-03,positive,neutral
2019-07-03,positive,neutral
2019-07-05,negative,negative
2019-07-10,neutral,positive
2019-07-12,negative,negative
2019-07-12,neutral,neutral
2019-07-16,negative,negative
2019-07-25,negative,negative
2019-07-25,negative,positive
2019-07-25,negative,negative
2019-07-30,positive,neutral
2019-07-30,neutral,negative
2019-07-30,positive,neutral
2019-07-31,positive,neutral
2019-08-02,positive,neutral
2019-08-11,neutral,neutral
2019-08-15,neutral,positive
2019-08-26,negative,negative
2019-08-30,negative,negative
2019-09-03,negative,negative
2019-09-04,neutral,negative
2019-09-04,negative,negative
2019-09-06,negative,neutral
2019-09-06,neutral,negative
2019-09-08,neutral,negative
2019-09-10,neutral,negative
2019-09-10,neutral,negative
2019-09-10,neutral,positive
2019-09-13,negative,neutral
2019-09-17,neutral,negative
2019-09-17,positive,negative
2019-09-25,neutral,neutral
2019-09-26,negative,positive
2019-09-26,negative,negative
2019-09-27,negative,neutral
2019-10-03,neutral,positive
2019-10-08,positive,positive
2019-10-08,positive,negative
2019-10-11,positive,negative
2019-10-17,neutral,negative
2019-10-21,negative,negative
2019-10-23,neutral,negative
2019-10-28,neutral,negative
2019-10-30,positive,positive
2019-11-02,neutral,positive
2019-11-05,positive,neutral
2019-11-07,negative,negative
2019-11-08,negative,negative
2019-11-08,negative,negative
2019-11-09,negative,negative
2019-11-12,neutral,negative
2019-11-12,positive,negative
2019-11-13,positive,positive
2019-11-14,negative,negative
2019-11-14,negative,negative
2019-11-15,neutral,neutral
2019-11-15,negative,negative
2019-11-18,neutral,negative
2019-11-18,positive,positive
2019-11-20,neutral,positive
2019-11-20,neutral,positive
2019-11-21,neutral,positive
2019-11-21,positive,neutral
2019-11-22,negative,negative
2019-11-22,neutral,positive
2019-11-25,neutral,negative
2019-11-25,positive,negative
2019-11-29,negative,negative
2019-11-29,negative,neutral
2019-12-02,neutral,negative
2019-12-03,negative,positive
2019-12-06,negative,negative
2019-12-07,positive,positive
2019-12-09,neutral,positive
2019-12-10,positive,positive
2019-12-11,negative,neutral
2019-12-11,neutral,positive
2019-12-12,positive,neutral
2019-12-13,positive,neutral
2019-12-16,neutral,positive
2019-12-16,neutral,negative
2019-12-17,positive,neutral
2019-12-19,negative,negative
2019-12-20,neutral,positive
2019-12-20,neutral,positive
2019-12-23,negative,negative
2019-12-24,negative,positive
2019-12-26,neutral,negative
2019-12-31,neutral,positive
2020-01-07,negative,negative
2020-01-07,neutral,neutral
2020-01-10,neutral,negative
2020-01-13,negative,positive
2020-01-15,positive,positive
2020-01-17,positive,negative
2020-01-21,neutral,positive
2020-01-21,positive,positive
2020-01-22,negative,neutral
2020-01-23,neutral,negative
2020-01-27,neutral,negative
2020-01-27,positive,positive
2020-01-28,negative,negative
2020-01-28,neutral,negative
2020-01-28,positive,positive
2020-01-28,positive,positive
2020-01-28,neutral,negative
2020-01-28,negative,negative
2020-01-29,negative,positive
2020-01-29,neutral,neutral
2020-01-31,positive,positive
2020-02-03,negative,negative
2020-02-03,positive,positive
2020-02-04,positive,neutral
2020-02-05,neutral,negative
2020-02-05,positive,positive
2020-02-06,neutral,negative
2020-02-07,negative,neutral
2020-02-09,negative,negative
2020-02-11,negative,negative
2020-02-17,positive,positive
2020-02-17,neutral,positive
2020-02-18,negative,negative
2020-02-19,negative,negative
2020-02-23,positive,positive
2020-02-27,positive,neutral
2020-03-04,positive,neutral
2020-03-06,negative,neutral
2020-03-11,positive,positive
2020-03-12,negative,negative
2020-03-12,neutral,negative
2020-03-13,neutral,positive
