date,line,tweet
2016-08-15 21:30:07-04:00,stm_Jaune,Normal métro service  #STM  I
2016-09-15 12:51:03-04:00,stm_Jaune,"De Berri-de Montigny à Longueuil depuis 1966!  #50ansmétromtl   #STM  STM STM  @stm_nouvelles · #Jeudirétro  Le  #métro  est inauguré le 14 oct. 66. Lors de la 1ère fds, 1 M de personnes l'utilisent!  #50ansmétromtl 1 3"
2016-10-14 07:14:30-04:00,stm_Jaune,"Aujourd’hui, le métro de Montréal célèbre ses 50 ans! Joignez-vous à nous en cette journée spéciale de célébrations!  http://ow.ly/QDXE305b24y http://"
2016-10-14 07:17:04-04:00,stm_Jaune,"Today, the Montréal métro celebrates its golden jubilee! Join us for this special day of celebrations!  http://ow.ly/ZNBl305b2pB http://"
2016-10-19 05:40:59-04:00,stm_Jaune,Shutdown YELLOW line between Longueuil and Berri-UQAM. Unauthorized person on tracks. Service expected to resume at 5:55.  #STM  J 1 2
2016-10-19 05:40:59-04:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Personne non autorisée sur rails. Reprise prévue vers 5h55.  #STM  J
2016-10-19 05:53:36-04:00,stm_Jaune,Service normal du métro  #STM  J
2016-10-19 05:53:37-04:00,stm_Jaune,Normal métro service  #STM  J 2
2016-10-27 19:32:21-04:00,stm_Jaune,"@JonathanMilot @JonathanMilot Bonsoir, pas d'interruptions de service, mais service offert a une fréquence de 5à10 min hors-pointe:  http://ow.ly/YdvO305BRb2 http:// 1"
2016-10-27 19:40:04-04:00,stm_Jaune,"@JonathanMilot @JonathanMilot En fait, il n'y a pas d'horaire fixe par station, le service est planifié en fonction d'une fréquence de service par station 1"
2016-11-15 14:25:53-05:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Problème d'équipement. Reprise prévue vers 14h59.  #STM  X 2
2016-11-15 14:54:26-05:00,stm_Jaune,Service normal du métro sur la ligne JAUNE.  #STM  W
2016-11-15 14:54:27-05:00,stm_Jaune,Normal métro service on YELLOW line.  #STM  W 1
2016-11-16 10:32:49-05:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Problème d'équipement. Reprise prévue vers 11h05.  #STM  H
2016-11-16 10:32:49-05:00,stm_Jaune,Shutdown YELLOW line between Longueuil and Berri-UQAM. Equipment problem. Service expected to resume at 11:05.  #STM  H 1
2016-11-16 10:54:26-05:00,stm_Jaune,Service normal du métro sur la ligne JAUNE.  #STM  N
2016-11-16 10:54:26-05:00,stm_Jaune,Normal métro service on YELLOW line.  #STM  N
2016-11-28 09:44:23-05:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Problème d'équipement. Reprise prévue vers 10h16.  #STM  L 2
2016-11-28 09:44:23-05:00,stm_Jaune,Shutdown YELLOW line between Longueuil and Berri-UQAM. Equipment problem. Service expected to resume at 10:16.  #STM  L 1 1
2016-11-28 09:53:09-05:00,stm_Jaune,Service normal du métro sur la ligne JAUNE.  #STM  J 1
2016-11-28 09:53:10-05:00,stm_Jaune,Normal métro service on YELLOW line.  #STM  J 2 1
2016-11-29 20:56:10-05:00,stm_Jaune,Shutdown YELLOW line between Longueuil and Berri-UQAM. Inter. emergency services. Service expected to resume at 21:30.  #STM  Z 1
2016-11-29 20:56:10-05:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Inter. services d'urgence. Reprise prévue vers 21h30.  #STM  Z
2016-11-29 21:00:09-05:00,stm_Jaune,Service normal du métro  #STM  H
2016-11-29 21:00:09-05:00,stm_Jaune,Normal métro service  #STM  H 1
2016-12-01 19:56:32-05:00,stm_Jaune,Shutdown YELLOW line between Longueuil and Berri-UQAM. Inter. emergency services. Service expected to resume at 20:29.  #STM  A 1
2016-12-01 19:56:32-05:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Inter. services d'urgence. Reprise prévue vers 20h29.  #STM  A 4 1
2016-12-01 20:04:13-05:00,stm_Jaune,Service normal du métro  #STM  U
2016-12-01 20:20:48-05:00,stm_Jaune,"@BertrandAmanda @BertrandAmanda Bonjour, le service est rétabli sur l'ensemble du réseau depuis 20h04"
2016-12-01 20:27:04-05:00,stm_Jaune,"@real_janismo @real_janismo Bonjour, le service a été interrompu en raison d'une interv. des services d'urgence, le service a été rétabli à 20h04"
2017-03-06 17:06:37-05:00,stm_Jaune,"@ericlacasse @ericlacasse and and @PoliceSPAL @PoliceSPAL Bonjour Eric, oui en effet la station de métro Longueuil-UdeS + terminus  @RTL_info  demeurent ouvertes/en fonction"
2017-03-16 00:02:00-04:00,stm_Jaune,Shutdown YELLOW line between Longueuil and Berri-UQAM. Equipment problem. Service expected to resume at 0:34.  #stminfo  N
2017-03-16 00:02:00-04:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Problème d'équipement. Reprise prévue vers 0h34.  #stminfo  N 1 1
2017-03-16 00:09:32-04:00,stm_Jaune,Normal métro service on YELLOW line.  #stminfo  C
2017-03-16 00:09:32-04:00,stm_Jaune,Service normal du métro sur la ligne JAUNE.  #stminfo  C 1 1
2017-03-20 05:43:50-04:00,stm_Jaune,Shutdown YELLOW line between Longueuil and Berri-UQAM. Train breakdown. Service expected to resume at 6:10.  #stminfo  B 1 1
2017-03-20 05:43:50-04:00,stm_Jaune,Shutdown YELLOW line between Longueuil and Berri-UQAM. Train breakdown. Service expected to resume at 6:10.  #stminfo  B 1 1
2017-03-20 05:43:50-04:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Panne de train. Reprise prévue vers 6h10.  #stminfo  B 2
2017-03-20 06:14:17-04:00,stm_Jaune,Shutdown continues YELLOW line between Longueuil and Berri-UQAM. Train breakdown. Service expected to resume at 6:25.  #stminfo  L 1 2 1
2017-03-20 06:14:17-04:00,stm_Jaune,Arrêt prolongé ligne JAUNE entre Longueuil et Berri-UQAM. Panne de train. Reprise prévue vers 6h25.  #stminfo  L 1 3
2017-03-20 06:14:17-04:00,stm_Jaune,Shutdown continues YELLOW line between Longueuil and Berri-UQAM. Train breakdown. Service expected to resume at 6:25.  #stminfo  L 1 2 1
2017-03-20 06:14:17-04:00,stm_Jaune,Arrêt prolongé ligne JAUNE entre Longueuil et Berri-UQAM. Panne de train. Reprise prévue vers 6h25.  #stminfo  L 1 3
2017-03-20 06:22:17-04:00,stm_Jaune,Service normal du métro  #stminfo  P 2 2
2017-03-20 06:22:17-04:00,stm_Jaune,Service normal du métro  #stminfo  P 2 2
2017-03-20 06:22:17-04:00,stm_Jaune,Normal métro service  #stminfo  P 1 1
2017-03-21 09:44:52-04:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Problème d'équipement. Reprise prévue vers 9h57.  #stminfo  X 1 1 1
2017-03-21 09:44:52-04:00,stm_Jaune,Shutdown YELLOW line between Longueuil and Berri-UQAM. Equipment problem. Service expected to resume at 9:57.  #stminfo  X 1
2017-03-21 09:47:17-04:00,stm_Jaune,Normal métro service  #stminfo  F 1
2017-03-21 09:47:17-04:00,stm_Jaune,Service normal du métro  #stminfo  F 2
2017-03-29 09:38:10-04:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Inter. services d'urgence. Reprise prévue vers 10h10.  #stminfo  J 5 1
2017-03-29 09:38:10-04:00,stm_Jaune,Shutdown YELLOW line between Longueuil and Berri-UQAM. Inter. emergency services. Service expected to resume at 10:10.  #stminfo  J 1 1
2017-03-29 09:43:59-04:00,stm_Jaune,Interruption de service en raison d'un dégagement de fumée. Équipes sur place travaillent à rétablir le service le plus rapidement possible. 13 6
2017-03-29 09:44:21-04:00,stm_Jaune,"Service disruption caused by presence of smoke. Teams are on site, working to restore service as soon as possible. 1 3"
2017-03-29 10:16:35-04:00,stm_Jaune,Le service est rétabli sur la ligne Jaune  #stminfo 5 3
2017-03-29 10:18:30-04:00,stm_Jaune,Regular service has resumed on the Yellow line  #stminfo 1 2 2
2017-03-29 10:20:41-04:00,stm_Jaune,Service normal du métro  #stminfo  Y 2
2017-03-29 10:20:42-04:00,stm_Jaune,Normal métro service  #stminfo  Y 1 1
2017-05-06 12:48:49-04:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Problème d'équipement. Reprise prévue vers 13h19.  #stminfo  C
2017-05-06 12:48:50-04:00,stm_Jaune,Shutdown YELLOW line between Longueuil and Berri-UQAM. Equipment problem. Service expected to resume at 13:19.  #stminfo  C
2017-05-06 12:50:46-04:00,stm_Jaune,Service normal du métro  #stminfo  V
2017-05-06 12:50:46-04:00,stm_Jaune,Normal métro service  #stminfo  V
2017-06-09 15:17:07-04:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Inter. services d'urgence. Reprise prévue vers 16h18.  #stminfo  U 1 11 8
2017-06-09 15:17:08-04:00,stm_Jaune,Shutdown YELLOW line between Longueuil and Berri-UQAM. Inter. emergency services. Service expected to resume at 16:18.  #stminfo  U 2 9 2
2017-06-09 15:38:49-04:00,stm_Jaune,Interruption de service sur la ligne jaune en raison d’une intervention policière.  #stminfo 1 3
2017-06-09 15:39:55-04:00,stm_Jaune,Service shutdown on the yellow line due to a police intervention.  #stminfo 2 6
2017-06-09 16:03:05-04:00,stm_Jaune,Service normal du métro  #stminfo  W 1
2017-06-09 16:03:05-04:00,stm_Jaune,Normal métro service  #stminfo  W 1 1
2017-06-09 16:05:44-04:00,stm_Jaune,Reprise du service sur la ligne jaune.  #stminfo 8 3
2017-06-09 16:06:04-04:00,stm_Jaune,Service resuming on the yellow line.  #stminfo 1 10 2
2017-07-19 06:54:52-04:00,stm_Jaune,Shutdown YELLOW line between Longueuil and Berri-UQAM. Inter. emergency services. Service expected to resume at 7:17.  #stminfo  I 1 6 1
2017-07-19 06:54:52-04:00,stm_Jaune,Arrêt ligne JAUNE entre Longueuil et Berri-UQAM. Inter. services d'urgence. Reprise prévue vers 7h17.  #stminfo  I 8
2017-07-19 07:16:27-04:00,stm_Jaune,Normal métro service on YELLOW line.  #stminfo  Q 1
2017-07-19 07:16:27-04:00,stm_Jaune,Service normal du métro sur la ligne JAUNE.  #stminfo  Q 6
