raw_date,raw_text
2013-05-30T15:00:10.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', 'Dès lundi 3 juin, accompagnement de 6h à 20h lors de perturbations sur la ligne Bleue du métro']"
2013-05-30T15:00:10.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', 'Dès lundi 3 juin, accompagnement de 6h à 20h lors de perturbations sur la ligne Bleue du métro']"
2013-05-30T15:01:20.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', 'Monday june 3, service advisories between 6am & 8pm during disruptions on the Blue metro line', '1']"
2013-05-30T15:01:20.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', 'Monday june 3, service advisories between 6am & 8pm during disruptions on the Blue metro line', '1']"
2013-06-18T16:59:33.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', ""Arrêt ligne BLEUE entre Snowdon et De Castelnau. Inter. services d'urgence. Reprise prévue vers 13h14. "", '#STM', ' W']"
2013-06-18T16:59:33.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', 'Shutdown BLUE line between Snowdon and De Castelnau. Inter. emergency services. Service expected to resume at 1:14 PM. ', '#STM', ' W', '2']"
2013-06-18T17:05:02.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', 'Vous pouvez utiliser le calculateur de trajet en décochant l’option ‘utilisation du métro’ ', 'http://bit.ly/ZxjA3S', 'http://', '1']"
2013-06-18T17:05:18.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', 'You may use the trip calculator by deselecting the “With métro” option : ', 'http://bit.ly/ZxjA3S', 'http://']"
2013-06-18T17:15:36.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', ""Arrêt ligne BLEUE entre Snowdon et De Castelnau. Inter. services d'urgence. Reprise prévue vers 13h25. "", '#STM', ' P', '2']"
2013-06-18T17:15:37.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', 'Shutdown BLUE line between Snowdon and De Castelnau. Inter. emergency services. Service expected to resume at 1:25 PM. ', '#STM', ' P', '1']"
2013-06-18T17:23:19.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', 'Service normal du métro ', '#STM', ' W']"
2013-06-18T17:23:19.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', 'Normal métro service ', '#STM', ' W', '3']"
2013-06-18T17:30:38.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', 'Nous vous remercions de nous avoir suivi. Nous cessons l’intervention sur ce fil pour le moment.']"
2013-06-18T17:31:04.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', 'Thank you for following us. This feed is going offline for now.', '1']"
2013-06-25T00:26:19.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', ""Arrêt ligne BLEUE entre Snowdon et St-Michel. Problème d'équipement. Reprise prévue vers 20h35. "", '#STM', ' X', '2']"
2013-06-25T00:26:19.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', 'Shutdown BLUE line between Snowdon and St-Michel. Equipment problem. Service expected to resume at 8:35 PM. ', '#STM', ' X']"
2013-06-25T00:36:20.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', 'Service normal du métro ', '#STM', ' R', '1']"
2013-06-25T00:36:21.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', 'Normal métro service ', '#STM', ' R']"
2013-07-03T21:11:33.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', 'Arrêt ligne BLEUE entre Snowdon et St-Michel. Incident. Durée indéterminée. ', '#STM', ' C', '1', '1']"
2013-07-03T21:11:33.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', 'Shutdown BLUE line between Snowdon and St-Michel. Incident. Indefinite period. ', '#STM', ' C', '2']"
2013-07-03T21:14:14.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', 'Service interrompu sur toutes les lignes du métro. Causé par une panne d’Hydro-Québec.']"
2013-07-03T21:15:05.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', 'Service is currently interrupted on ALL lines. Caused by an Hydro-Québec breakdown.']"
2013-07-03T21:25:33.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', 'Service normal du métro sur la ligne BLEUE. ', '#STM', ' S', '1']"
2013-07-03T21:25:34.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', 'Normal métro service on BLUE line. ', '#STM', ' S', '1']"
2013-07-03T22:18:03.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', 'Nous vous remercions de nous avoir suivi. Nous cessons l’intervention sur ce fil pour le moment.']"
2013-07-03T22:18:28.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', 'Thank you for following us. This feed is going offline for now.']"
2013-07-04T10:40:09.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', 'Shutdown BLUE line between Snowdon and St-Michel. Equipment problem. Indefinite period. ', '#STM', ' P']"
2013-07-04T10:40:09.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', ""Arrêt ligne BLEUE entre Snowdon et St-Michel. Problème d'équipement. Durée indéterminée. "", '#STM', ' P']"
2013-07-04T10:40:11.000Z,"['Ligne 5 - Bleue', 'Ligne 5 - Bleue', '', '@stm_Bleue', '·', ""Arrêt ligne BLEUE entre Snowdon et St-Michel. Problème d'équipement. Durée indéterminée. "", '#STM', ' K', '1']"
