raw_date,raw_title,raw_description,link
2 days ago,What's open and closed for Easter weekend,Many government services will be unavailable Friday and Monday.,https://montrealgazette.com/news/local-news/whats-open-and-closed-for-easter-weekend
"March 22, 2024",Shortcut to Central Station REM platform opens at Place Bonaventure,Ticket vending machines will not be installed at the new access point for the next few days.,https://montrealgazette.com/news/local-news/shortcut-to-central-station-rem-platform-opens-at-place-bonaventure
"March 13, 2024","Quebec budget fails to meet needs of Montreal region, critics say","The Regional Metropolitan Transport Authority and Trajectoire Québec join Mayor Valérie Plante in decrying the budget's ""disengagement in public transportation.""",https://montrealgazette.com/news/local-news/quebec-budget-fails-to-meet-needs-of-montreal-region-critics-say
"March 5, 2024",Pedestrian dead after being struck by STM bus in St-Laurent,The driver of the bus was treated for nervous shock.,https://montrealgazette.com/news/local-news/pedestrian-dead-after-being-struck-by-stm-bus-in-st-laurent
"February 28, 2024",Opinion: We banned tobacco ads; why not those for fossil fuels?,Such a move would send a clear message that we are seeking a new normal for the sake of the planet’s health and for our kids.,https://montrealgazette.com/opinion/opinion-we-banned-tobacco-ads-why-not-those-for-fossil-fuels
"February 22, 2024",Opinion: The trouble with the STM's new 'safety ambassadors',We question how they can balance the concerns of commuters with the needs of the unhoused in the Montreal métro.,https://montrealgazette.com/opinion/opinion-the-trouble-with-the-stms-new-safety-ambassadors
"February 21, 2024",Updated: Montreal métro service resumes following 'equipment failure',Service had been affected on all four lines.,https://montrealgazette.com/news/local-news/montreals-metro-system-collapses-because-of-equipment-failure
"February 15, 2024",Man found guilty of murdering his sisters in Mercier–Hochelaga-Maisonneuve,Denis Leblanc asked if anyone else wanted a turn after he shot his sisters at close range on his balcony in 2020.,https://montrealgazette.com/news/man-found-guilty-of-murdering-his-sisters-in-mercier-hochelaga-maisonneuve
"February 14, 2024","Instead of flowers, the STM renamed its stations for Valentine's Day",Please send help,https://montrealgazette.com/news/local-news/instead-of-flowers-the-stm-renamed-its-stations-for-valentines-day
"February 14, 2024",Allison Hanes: Public transit in Quebec is at a crossroads,"It's not a matter of mismanagement — it's a political choice to invest in public transit to tame congestion, improve mobility and fight climate change.",https://montrealgazette.com/opinion/columnists/allison-hanes-public-transit-at-crossroads
"January 31, 2024",Peter F. Trent: Snow disposal shouldn’t be this inefficient,"Quicker removal not only gets cars, bikes and pedestrians moving again, but also helps the environment.",https://montrealgazette.com/opinion/columnists/peter-f-trent-snow-disposal-shouldnt-be-this-inefficient
"January 31, 2024",Quebec to maintain transit incentives during Île-aux-Tourtes bridge work,"Free transit service off-island will continue past Feb. 5, as three of six lanes are open on the bridge.",https://montrealgazette.com/news/local-news/quebec-to-maintain-transit-incentives-during-ile-aux-tourtes-bridge-work
"January 25, 2024",Safety ambassadors are officially on the job in the métro system,Their role is to give information and increase security amid a rise in complaints.,https://montrealgazette.com/news/local-news/safety-ambassadors-are-officially-on-the-job-in-the-metro-system
"January 24, 2024","Accused murderer shouted 'the Devil has awoken,' neighbour tells court","Denis Leblanc is facing charges of murdering his two sisters on Oct. 3, 2020, in Montreal.",https://montrealgazette.com/news/crime/neighbour-recounts-events-at-trial-of-man-accused-of-murdering-his-two-sisters
"January 18, 2024","Yara El-Soueidi: There's a pall over Montreal, but I love my city","When things seem gloomy, sometimes all we need is a little perspective.",https://montrealgazette.com/opinion/columnists/yara-el-soueidi-theres-a-pall-over-montreal-but-i-love-my-city
"December 21, 2023",What's open and closed over New Year's,Most municipal offices are closed through Jan. 2.,https://montrealgazette.com/news/local-news/whats-open-and-closed-for-the-holidays
"December 19, 2023",Île-aux-Tourtes Bridge to close again this weekend,The bridge will be closed westbound from Friday night to Sunday morning.,https://montrealgazette.com/news/local-news/ile-aux-tourtes-bridge-to-close-again-this-weekend-2
"December 13, 2023",Île-aux-Tourtes Bridge to close again this weekend,"Work will be conducted to repair a cracked slab to hopefully reopen a third lane, the government says.",https://montrealgazette.com/news/local-news/ile-aux-tourtes-bridge-to-close-again-this-weekend
"December 12, 2023",Analysis: Mount Royal makeover is about more than banning cars,But promised improvements — including a new lookout and access to dramatic rock walls — are predicated on closing Camillien-Houde Way to vehicles.,https://montrealgazette.com/news/local-news/analysis-mount-royal-makeover-is-about-more-than-banning-cars
"December 8, 2023",More transit incentives added during Île-aux-Tourtes Bridge work,Additional Exo bus lines can be ridden at no charge and free transit tickets will be handed out at train stations.,https://montrealgazette.com/news/local-news/more-transit-incentives-added-during-ile-aux-tourtes-bridge-work
